1000000, 511171
2000000, 538766
3000000, 548846
4000000, 554197
5000000, 557465
6000000, 559750
7000000, 561226
8000000, 562361
9000000, 563106
10000000, 563847
11000000, 564373
12000000, 564900
13000000, 565301
14000000, 565641
15000000, 565722
16000000, 566025
17000000, 566317
18000000, 566463
19000000, 566722
20000000, 566935
21000000, 567101
22000000, 567261
23000000, 567379
24000000, 567529
25000000, 567658
26000000, 567771
27000000, 567873
28000000, 567957
29000000, 568049
30000000, 568131
31000000, 568113
32000000, 568843
33000000, 569369
34000000, 568852
35000000, 569176
36000000, 569673
37000000, 567731
38000000, 570217
39000000, 570783
