1000000, 577007
2000000, 594295
3000000, 600610
4000000, 603097
5000000, 604536
6000000, 605028
7000000, 605678
8000000, 605970
9000000, 606260
10000000, 606369
11000000, 606371
12000000, 606449
13000000, 606417
14000000, 606339
15000000, 606357
16000000, 606355
17000000, 606364
18000000, 606267
19000000, 606146
20000000, 606128
21000000, 606096
22000000, 606023
23000000, 605995
24000000, 605945
25000000, 605907
26000000, 605829
27000000, 605747
28000000, 605664
29000000, 605627
30000000, 605580
31000000, 605551
32000000, 605505
33000000, 605453
34000000, 605438
35000000, 605352
36000000, 605310
37000000, 605151
38000000, 605363
39000000, 606115
40000000, 605570
41000000, 606222
42000000, 606871
