1000000, 573375
2000000, 582355
3000000, 585112
4000000, 586139
5000000, 586817
6000000, 587078
7000000, 587328
8000000, 587464
9000000, 587676
10000000, 587623
11000000, 587575
12000000, 587475
13000000, 587459
14000000, 587327
15000000, 587274
16000000, 587141
17000000, 587100
18000000, 587008
19000000, 586936
20000000, 586863
21000000, 586741
22000000, 586690
23000000, 586629
24000000, 586549
25000000, 586499
26000000, 586425
27000000, 586386
28000000, 586312
29000000, 586218
30000000, 586122
31000000, 586065
32000000, 586018
33000000, 585975
34000000, 585916
35000000, 585810
36000000, 586136
37000000, 586370
38000000, 587321
39000000, 587046
40000000, 587923
41000000, 588744
