1000000, 576092
2000000, 590975
3000000, 595074
4000000, 597055
5000000, 598172
6000000, 598579
7000000, 598805
8000000, 598887
9000000, 598848
10000000, 598751
11000000, 598744
12000000, 598711
13000000, 598675
14000000, 598564
15000000, 598411
16000000, 598166
17000000, 598080
18000000, 597970
19000000, 597815
20000000, 597598
21000000, 597473
22000000, 597337
23000000, 597188
24000000, 597099
25000000, 596899
26000000, 596752
27000000, 596596
28000000, 596442
29000000, 596317
30000000, 596202
31000000, 596126
32000000, 596029
33000000, 595938
34000000, 595830
35000000, 595731
36000000, 595233
37000000, 595001
38000000, 594675
39000000, 594524
40000000, 595208
41000000, 595916
