1000000, 685923
2000000, 703715
3000000, 710054
4000000, 712979
5000000, 713926
6000000, 715090
7000000, 715870
8000000, 716383
9000000, 716850
10000000, 717094
11000000, 717006
12000000, 717255
13000000, 717350
14000000, 717210
15000000, 717040
16000000, 716909
17000000, 716788
18000000, 716649
19000000, 716480
20000000, 716325
21000000, 716281
22000000, 716246
23000000, 716048
24000000, 715934
25000000, 715928
26000000, 715828
27000000, 715820
28000000, 715787
29000000, 715721
30000000, 715766
31000000, 715773
32000000, 715801
33000000, 715808
34000000, 715784
35000000, 715740
36000000, 715684
37000000, 715648
38000000, 715605
39000000, 715574
40000000, 715543
41000000, 715511
42000000, 715499
43000000, 715475
44000000, 715461
45000000, 715435
46000000, 715377
47000000, 715375
48000000, 715140
49000000, 714212
50000000, 714519
